filename,timestamp,posixtime,latitude,longitude,elevation,gps_type,geometry
1_SubZero__173256.20_T1HR1H.dat,2022-01-07 17:33:05.244,1641576785.244,-71.6162915,-8.4207567,98.21,4,POINT Z (-8.4207567 -71.6162915 98.21)
1_SubZero__173840.70_T1HR1H.dat,2022-01-07 17:38:47.853,1641577127.853,-71.6162804,-8.4207391,98.17,4,POINT Z (-8.4207391 -71.6162804 98.17)
2_SubZero__174145_T1HR1H.dat,2022-01-07 17:41:54.136,1641577314.136,-71.6160204,-8.4204281,98.32,4,POINT Z (-8.4204281 -71.6160204 98.32)
1_SubZero__182106_T1HR1H.dat,2022-01-07 18:21:13.186,1641579673.186,-71.6166393,-8.4215993,98.31,4,POINT Z (-8.4215993 -71.6166393 98.31)
2_SubZero__182359.20_T1HR1H.dat,2022-01-07 18:24:08.335,1641579848.335,-71.6166243,-8.4215694,98.37,4,POINT Z (-8.4215694 -71.6166243 98.37)
3_SubZero__182418.40_T1HR1H.dat,2022-01-07 18:24:27.537,1641579867.537,-71.6166177,-8.4215584,98.38,4,POINT Z (-8.4215584 -71.6166177 98.38)
4_SubZero__182437.60_T1HR1H.dat,2022-01-07 18:24:46.729,1641579886.729,-71.6166097,-8.4215454,98.39,4,POINT Z (-8.4215454 -71.6166097 98.39)
5_SubZero__182457.10_T1HR1H.dat,2022-01-07 18:25:06.240,1641579906.24,-71.6166017,-8.4215323,98.4,4,POINT Z (-8.4215323 -71.6166017 98.4)
6_SubZero__182516.40_T1HR1H.dat,2022-01-07 18:25:25.539,1641579925.539,-71.6165936,-8.4215197,98.41,4,POINT Z (-8.4215197 -71.6165936 98.41)
7_SubZero__182535.50_T1HR1H.dat,2022-01-07 18:25:44.638,1641579944.638,-71.616585,-8.4215072,98.37,4,POINT Z (-8.4215072 -71.616585 98.37)
8_SubZero__182555.50_T1HR1H.dat,2022-01-07 18:26:04.635,1641579964.635,-71.6165769,-8.4214955,98.35,4,POINT Z (-8.4214955 -71.6165769 98.35)
9_SubZero__182615_T1HR1H.dat,2022-01-07 18:26:24.140,1641579984.14,-71.6165692,-8.421486,98.32,4,POINT Z (-8.421486 -71.6165692 98.32)
10_SubZero__182635.70_T1HR1H.dat,2022-01-07 18:26:44.835,1641580004.835,-71.6165612,-8.4214724,98.36,4,POINT Z (-8.4214724 -71.6165612 98.36)
11_SubZero__182655.50_T1HR1H.dat,2022-01-07 18:27:04.637,1641580024.637,-71.6165532,-8.4214579,98.34,4,POINT Z (-8.4214579 -71.6165532 98.34)
12_SubZero__182715_T1HR1H.dat,2022-01-07 18:27:24.141,1641580044.141,-71.6165444,-8.4214473,98.34,4,POINT Z (-8.4214473 -71.6165444 98.34)
13_SubZero__182736.10_T1HR1H.dat,2022-01-07 18:27:45.242,1641580065.242,-71.6165357,-8.4214345,98.34,4,POINT Z (-8.4214345 -71.6165357 98.34)
14_SubZero__182813.30_T1HR1H.dat,2022-01-07 18:28:22.439,1641580102.439,-71.6165278,-8.4214216,98.39,4,POINT Z (-8.4214216 -71.6165278 98.39)
15_SubZero__182835.30_T1HR1H.dat,2022-01-07 18:28:44.438,1641580124.438,-71.616519,-8.4214092,98.43,4,POINT Z (-8.4214092 -71.616519 98.43)
16_SubZero__182853.50_T1HR1H.dat,2022-01-07 18:29:02.643,1641580142.643,-71.6165114,-8.4213993,98.5,4,POINT Z (-8.4213993 -71.6165114 98.5)
17_SubZero__182912.50_T1HR1H.dat,2022-01-07 18:29:21.640,1641580161.64,-71.6165024,-8.421386,98.43,4,POINT Z (-8.421386 -71.6165024 98.43)
18_SubZero__182931.50_T1HR1H.dat,2022-01-07 18:29:40.641,1641580180.641,-71.616493,-8.4213733,98.31,4,POINT Z (-8.4213733 -71.616493 98.31)
19_SubZero__182950.20_T1HR1H.dat,2022-01-07 18:29:59.341,1641580199.341,-71.616485,-8.4213629,98.27,4,POINT Z (-8.4213629 -71.616485 98.27)
20_SubZero__183009.20_T1HR1H.dat,2022-01-07 18:30:18.340,1641580218.34,-71.6164765,-8.4213501,98.25,4,POINT Z (-8.4213501 -71.6164765 98.25)
21_SubZero__183029.50_T1HR1H.dat,2022-01-07 18:30:38.642,1641580238.642,-71.6164679,-8.4213364,98.23,4,POINT Z (-8.4213364 -71.6164679 98.23)
22_SubZero__183051.40_T1HR1H.dat,2022-01-07 18:31:00.543,1641580260.543,-71.6164607,-8.421326,98.34,4,POINT Z (-8.421326 -71.6164607 98.34)
23_SubZero__183110.40_T1HR1H.dat,2022-01-07 18:31:19.543,1641580279.543,-71.6164508,-8.4213133,98.44,4,POINT Z (-8.4213133 -71.6164508 98.44)
24_SubZero__183129.80_T1HR1H.dat,2022-01-07 18:31:38.947,1641580298.947,-71.6164416,-8.4213024,98.35,4,POINT Z (-8.4213024 -71.6164416 98.35)
25_SubZero__183149.30_T1HR1H.dat,2022-01-07 18:31:58.446,1641580318.446,-71.6164332,-8.4212905,98.39,4,POINT Z (-8.4212905 -71.6164332 98.39)
26_SubZero__183209.10_T1HR1H.dat,2022-01-07 18:32:18.252,1641580338.252,-71.6164248,-8.4212783,98.38,4,POINT Z (-8.4212783 -71.6164248 98.38)
27_SubZero__183229.60_T1HR1H.dat,2022-01-07 18:32:38.747,1641580358.747,-71.6164161,-8.4212663,98.36,4,POINT Z (-8.4212663 -71.6164161 98.36)
28_SubZero__183249.80_T1HR1H.dat,2022-01-07 18:32:58.953,1641580378.953,-71.6164078,-8.4212538,98.39,4,POINT Z (-8.4212538 -71.6164078 98.39)
29_SubZero__183309.10_T1HR1H.dat,2022-01-07 18:33:18.253,1641580398.253,-71.6163989,-8.4212401,98.34,4,POINT Z (-8.4212401 -71.6163989 98.34)
30_SubZero__183328.10_T1HR1H.dat,2022-01-07 18:33:37.251,1641580417.251,-71.6163901,-8.421227,98.33,4,POINT Z (-8.421227 -71.6163901 98.33)
31_SubZero__183347.50_T1HR1H.dat,2022-01-07 18:33:56.638,1641580436.638,-71.6163816,-8.4212155,98.34,4,POINT Z (-8.4212155 -71.6163816 98.34)
32_SubZero__183406.50_T1HR1H.dat,2022-01-07 18:34:15.649,1641580455.649,-71.6163729,-8.4212043,98.33,4,POINT Z (-8.4212043 -71.6163729 98.33)
33_SubZero__183426.20_T1HR1H.dat,2022-01-07 18:34:35.354,1641580475.354,-71.6163639,-8.4211921,98.29,4,POINT Z (-8.4211921 -71.6163639 98.29)
34_SubZero__183447.80_T1HR1H.dat,2022-01-07 18:34:56.953,1641580496.953,-71.6163558,-8.4211805,98.32,4,POINT Z (-8.4211805 -71.6163558 98.32)
35_SubZero__183531_T1HR1H.dat,2022-01-07 18:35:40.149,1641580540.149,-71.6163478,-8.4211674,98.33,4,POINT Z (-8.4211674 -71.6163478 98.33)
36_SubZero__183551.90_T1HR1H.dat,2022-01-07 18:36:01.053,1641580561.053,-71.6163377,-8.4211541,98.34,4,POINT Z (-8.4211541 -71.6163377 98.34)
37_SubZero__183611.60_T1HR1H.dat,2022-01-07 18:36:20.753,1641580580.753,-71.616329,-8.4211415,98.3,4,POINT Z (-8.4211415 -71.616329 98.3)
38_SubZero__183630.80_T1HR1H.dat,2022-01-07 18:36:39.952,1641580599.952,-71.6163205,-8.4211302,98.28,4,POINT Z (-8.4211302 -71.6163205 98.28)
39_SubZero__183655.40_T1HR1H.dat,2022-01-07 18:37:04.553,1641580624.553,-71.616312,-8.421117,98.27,4,POINT Z (-8.421117 -71.616312 98.27)
40_SubZero__183714.50_T1HR1H.dat,2022-01-07 18:37:23.649,1641580643.649,-71.6163001,-8.4210986,98.38,4,POINT Z (-8.4210986 -71.6163001 98.38)
41_SubZero__183733_T1HR1H.dat,2022-01-07 18:37:42.149,1641580662.149,-71.6162911,-8.4210863,98.39,4,POINT Z (-8.4210863 -71.6162911 98.39)
42_SubZero__183751.90_T1HR1H.dat,2022-01-07 18:38:01.058,1641580681.058,-71.6162815,-8.4210753,98.25,4,POINT Z (-8.4210753 -71.6162815 98.25)
43_SubZero__183811.40_T1HR1H.dat,2022-01-07 18:38:20.557,1641580700.557,-71.6162728,-8.4210632,98.23,4,POINT Z (-8.4210632 -71.6162728 98.23)
44_SubZero__183832.20_T1HR1H.dat,2022-01-07 18:38:41.358,1641580721.358,-71.6162636,-8.4210489,98.23,4,POINT Z (-8.4210489 -71.6162636 98.23)
45_SubZero__183851.80_T1HR1H.dat,2022-01-07 18:39:00.957,1641580740.957,-71.6162545,-8.4210377,98.29,4,POINT Z (-8.4210377 -71.6162545 98.29)
46_SubZero__183911.30_T1HR1H.dat,2022-01-07 18:39:20.458,1641580760.458,-71.6162446,-8.4210309,98.29,4,POINT Z (-8.4210309 -71.6162446 98.29)
47_SubZero__183931_T1HR1H.dat,2022-01-07 18:39:40.159,1641580780.159,-71.6162358,-8.4210166,98.24,4,POINT Z (-8.4210166 -71.6162358 98.24)
48_SubZero__183949.80_T1HR1H.dat,2022-01-07 18:39:58.957,1641580798.957,-71.6162243,-8.4210036,98.29,4,POINT Z (-8.4210036 -71.6162243 98.29)
49_SubZero__184008.50_T1HR1H.dat,2022-01-07 18:40:17.649,1641580817.649,-71.6162147,-8.4209917,98.29,4,POINT Z (-8.4209917 -71.6162147 98.29)
50_SubZero__184027.50_T1HR1H.dat,2022-01-07 18:40:36.659,1641580836.659,-71.6162052,-8.4209803,98.3,4,POINT Z (-8.4209803 -71.6162052 98.3)
51_SubZero__184046.80_T1HR1H.dat,2022-01-07 18:40:55.960,1641580855.96,-71.6161958,-8.4209684,98.31,4,POINT Z (-8.4209684 -71.6161958 98.31)
52_SubZero__184106.80_T1HR1H.dat,2022-01-07 18:41:15.962,1641580875.962,-71.6161867,-8.4209564,98.34,4,POINT Z (-8.4209564 -71.6161867 98.34)
53_SubZero__184125.50_T1HR1H.dat,2022-01-07 18:41:34.658,1641580894.658,-71.6161778,-8.4209454,98.35,4,POINT Z (-8.4209454 -71.6161778 98.35)
54_SubZero__184144.20_T1HR1H.dat,2022-01-07 18:41:53.363,1641580913.363,-71.6161688,-8.4209329,98.35,4,POINT Z (-8.4209329 -71.6161688 98.35)
55_SubZero__184203_T1HR1H.dat,2022-01-07 18:42:12.159,1641580932.159,-71.6161599,-8.42092,98.32,4,POINT Z (-8.42092 -71.6161599 98.32)
56_SubZero__184222.20_T1HR1H.dat,2022-01-07 18:42:31.361,1641580951.361,-71.6161512,-8.4209065,98.31,4,POINT Z (-8.4209065 -71.6161512 98.31)
57_SubZero__184241.70_T1HR1H.dat,2022-01-07 18:42:50.863,1641580970.863,-71.6161428,-8.4208931,98.31,4,POINT Z (-8.4208931 -71.6161428 98.31)
58_SubZero__184301.10_T1HR1H.dat,2022-01-07 18:43:10.267,1641580990.267,-71.6161343,-8.4208817,98.35,4,POINT Z (-8.4208817 -71.6161343 98.35)
59_SubZero__184320.60_T1HR1H.dat,2022-01-07 18:43:29.762,1641581009.762,-71.6161258,-8.4208693,98.37,4,POINT Z (-8.4208693 -71.6161258 98.37)
60_SubZero__184339.90_T1HR1H.dat,2022-01-07 18:43:49.066,1641581029.066,-71.6161177,-8.4208582,98.39,4,POINT Z (-8.4208582 -71.6161177 98.39)
61_SubZero__184358.70_T1HR1H.dat,2022-01-07 18:44:07.861,1641581047.861,-71.6161087,-8.4208447,98.36,4,POINT Z (-8.4208447 -71.6161087 98.36)
62_SubZero__184417.80_T1HR1H.dat,2022-01-07 18:44:26.949,1641581066.949,-71.6161003,-8.4208313,98.38,4,POINT Z (-8.4208313 -71.6161003 98.38)
63_SubZero__184436.80_T1HR1H.dat,2022-01-07 18:44:45.966,1641581085.966,-71.6160916,-8.4208197,98.4,4,POINT Z (-8.4208197 -71.6160916 98.4)
64_SubZero__184455.40_T1HR1H.dat,2022-01-07 18:45:04.563,1641581104.563,-71.6160833,-8.4208076,98.42,4,POINT Z (-8.4208076 -71.6160833 98.42)
65_SubZero__184514.10_T1HR1H.dat,2022-01-07 18:45:23.271,1641581123.271,-71.6160743,-8.4207943,98.44,4,POINT Z (-8.4207943 -71.6160743 98.44)
66_SubZero__184532.60_T1HR1H.dat,2022-01-07 18:45:41.768,1641581141.768,-71.6160651,-8.4207804,98.42,4,POINT Z (-8.4207804 -71.6160651 98.42)
67_SubZero__184551.30_T1HR1H.dat,2022-01-07 18:46:00.466,1641581160.466,-71.6160556,-8.4207667,98.42,4,POINT Z (-8.4207667 -71.6160556 98.42)
68_SubZero__184610.20_T1HR1H.dat,2022-01-07 18:46:19.367,1641581179.367,-71.6160464,-8.4207536,98.42,4,POINT Z (-8.4207536 -71.6160464 98.42)
69_SubZero__184629.20_T1HR1H.dat,2022-01-07 18:46:38.368,1641581198.368,-71.6160377,-8.4207399,98.41,4,POINT Z (-8.4207399 -71.6160377 98.41)
70_SubZero__184647.80_T1HR1H.dat,2022-01-07 18:46:56.968,1641581216.968,-71.6160288,-8.4207265,98.42,4,POINT Z (-8.4207265 -71.6160288 98.42)
71_SubZero__184706.40_T1HR1H.dat,2022-01-07 18:47:15.567,1641581235.567,-71.6160199,-8.4207128,98.37,4,POINT Z (-8.4207128 -71.6160199 98.37)
72_SubZero__184725_T1HR1H.dat,2022-01-07 18:47:34.175,1641581254.175,-71.6160108,-8.4206985,98.37,4,POINT Z (-8.4206985 -71.6160108 98.37)
73_SubZero__184743.60_T1HR1H.dat,2022-01-07 18:47:52.770,1641581272.77,-71.6160016,-8.4206847,98.36,4,POINT Z (-8.4206847 -71.6160016 98.36)
74_SubZero__184802.50_T1HR1H.dat,2022-01-07 18:48:11.670,1641581291.67,-71.6159925,-8.4206712,98.33,4,POINT Z (-8.4206712 -71.6159925 98.33)
75_SubZero__184821.10_T1HR1H.dat,2022-01-07 18:48:30.275,1641581310.275,-71.6159835,-8.4206561,98.33,4,POINT Z (-8.4206561 -71.6159835 98.33)
76_SubZero__184839.70_T1HR1H.dat,2022-01-07 18:48:48.870,1641581328.87,-71.6159745,-8.4206425,98.31,4,POINT Z (-8.4206425 -71.6159745 98.31)
77_SubZero__184858.70_T1HR1H.dat,2022-01-07 18:49:07.873,1641581347.873,-71.6159656,-8.4206289,98.27,4,POINT Z (-8.4206289 -71.6159656 98.27)
78_SubZero__184917.30_T1HR1H.dat,2022-01-07 18:49:26.471,1641581366.471,-71.6159574,-8.4206158,98.27,4,POINT Z (-8.4206158 -71.6159574 98.27)
79_SubZero__184936.40_T1HR1H.dat,2022-01-07 18:49:45.571,1641581385.571,-71.615949,-8.4206022,98.26,4,POINT Z (-8.4206022 -71.615949 98.26)
80_SubZero__184956.50_T1HR1H.dat,2022-01-07 18:50:05.674,1641581405.674,-71.6159408,-8.4205891,98.27,4,POINT Z (-8.4205891 -71.6159408 98.27)
81_SubZero__185014.90_T1HR1H.dat,2022-01-07 18:50:24.071,1641581424.071,-71.6159338,-8.4205792,98.31,4,POINT Z (-8.4205792 -71.6159338 98.31)
82_SubZero__185033.60_T1HR1H.dat,2022-01-07 18:50:42.769,1641581442.769,-71.6159249,-8.4205657,98.31,4,POINT Z (-8.4205657 -71.6159249 98.31)
83_SubZero__185052.60_T1HR1H.dat,2022-01-07 18:51:01.758,1641581461.758,-71.6159158,-8.420551,98.32,4,POINT Z (-8.420551 -71.6159158 98.32)
84_SubZero__185111.90_T1HR1H.dat,2022-01-07 18:51:21.074,1641581481.074,-71.6159078,-8.4205385,98.38,4,POINT Z (-8.4205385 -71.6159078 98.38)
85_SubZero__185130.90_T1HR1H.dat,2022-01-07 18:51:40.078,1641581500.078,-71.6158994,-8.4205282,98.41,4,POINT Z (-8.4205282 -71.6158994 98.41)
86_SubZero__185149.80_T1HR1H.dat,2022-01-07 18:51:58.965,1641581518.965,-71.6158906,-8.4205156,98.38,4,POINT Z (-8.4205156 -71.6158906 98.38)
87_SubZero__185208.70_T1HR1H.dat,2022-01-07 18:52:17.875,1641581537.875,-71.6158815,-8.4205006,98.33,4,POINT Z (-8.4205006 -71.6158815 98.33)
88_SubZero__185227.60_T1HR1H.dat,2022-01-07 18:52:36.769,1641581556.769,-71.6158727,-8.4204858,98.34,4,POINT Z (-8.4204858 -71.6158727 98.34)
89_SubZero__185246.40_T1HR1H.dat,2022-01-07 18:52:55.579,1641581575.579,-71.6158639,-8.4204732,98.34,4,POINT Z (-8.4204732 -71.6158639 98.34)
90_SubZero__185306.10_T1HR1H.dat,2022-01-07 18:53:15.275,1641581595.275,-71.6158573,-8.4204656,98.28,4,POINT Z (-8.4204656 -71.6158573 98.28)
91_SubZero__185325.30_T1HR1H.dat,2022-01-07 18:53:34.466,1641581614.466,-71.6158485,-8.4204525,98.26,4,POINT Z (-8.4204525 -71.6158485 98.26)
92_SubZero__185344.80_T1HR1H.dat,2022-01-07 18:53:53.976,1641581633.976,-71.6158398,-8.420437,98.22,4,POINT Z (-8.420437 -71.6158398 98.22)
93_SubZero__185404.90_T1HR1H.dat,2022-01-07 18:54:14.068,1641581654.068,-71.6158309,-8.4204234,98.2,4,POINT Z (-8.4204234 -71.6158309 98.2)
94_SubZero__185423.60_T1HR1H.dat,2022-01-07 18:54:32.769,1641581672.769,-71.6158224,-8.4204096,98.22,4,POINT Z (-8.4204096 -71.6158224 98.22)
95_SubZero__185442.50_T1HR1H.dat,2022-01-07 18:54:51.677,1641581691.677,-71.6158136,-8.4203969,98.21,4,POINT Z (-8.4203969 -71.6158136 98.21)
96_SubZero__185501.10_T1HR1H.dat,2022-01-07 18:55:10.282,1641581710.282,-71.6158075,-8.4203883,98.22,4,POINT Z (-8.4203883 -71.6158075 98.22)
97_SubZero__185519.70_T1HR1H.dat,2022-01-07 18:55:28.880,1641581728.88,-71.6157984,-8.4203747,98.21,4,POINT Z (-8.4203747 -71.6157984 98.21)
98_SubZero__185538.40_T1HR1H.dat,2022-01-07 18:55:47.580,1641581747.58,-71.61579,-8.420363,98.21,4,POINT Z (-8.420363 -71.61579 98.21)
99_SubZero__185557.30_T1HR1H.dat,2022-01-07 18:56:06.470,1641581766.47,-71.6157812,-8.4203493,98.26,4,POINT Z (-8.4203493 -71.6157812 98.26)
100_SubZero__185616.50_T1HR1H.dat,2022-01-07 18:56:25.687,1641581785.687,-71.6157726,-8.4203361,98.28,4,POINT Z (-8.4203361 -71.6157726 98.28)
101_SubZero__185635.20_T1HR1H.dat,2022-01-07 18:56:44.381,1641581804.381,-71.6157635,-8.4203229,98.27,4,POINT Z (-8.4203229 -71.6157635 98.27)
102_SubZero__185653.90_T1HR1H.dat,2022-01-07 18:57:03.081,1641581823.081,-71.6157545,-8.4203085,98.23,4,POINT Z (-8.4203085 -71.6157545 98.23)
103_SubZero__185713.20_T1HR1H.dat,2022-01-07 18:57:22.383,1641581842.383,-71.6157457,-8.4202952,98.22,4,POINT Z (-8.4202952 -71.6157457 98.22)
104_SubZero__185732.70_T1HR1H.dat,2022-01-07 18:57:41.870,1641581861.87,-71.6157365,-8.4202825,98.23,4,POINT Z (-8.4202825 -71.6157365 98.23)
105_SubZero__185752.50_T1HR1H.dat,2022-01-07 18:58:01.670,1641581881.67,-71.6157272,-8.4202703,98.22,4,POINT Z (-8.4202703 -71.6157272 98.22)
106_SubZero__185811.50_T1HR1H.dat,2022-01-07 18:58:20.682,1641581900.682,-71.6157181,-8.4202563,98.23,4,POINT Z (-8.4202563 -71.6157181 98.23)
107_SubZero__185830.40_T1HR1H.dat,2022-01-07 18:58:39.583,1641581919.583,-71.6157091,-8.420239,98.19,4,POINT Z (-8.420239 -71.6157091 98.19)
108_SubZero__185849_T1HR1H.dat,2022-01-07 18:58:58.187,1641581938.187,-71.6157004,-8.4202249,98.15,4,POINT Z (-8.4202249 -71.6157004 98.15)
109_SubZero__185908.20_T1HR1H.dat,2022-01-07 18:59:17.379,1641581957.379,-71.6156918,-8.4202101,98.16,4,POINT Z (-8.4202101 -71.6156918 98.16)
110_SubZero__185927.40_T1HR1H.dat,2022-01-07 18:59:36.588,1641581976.588,-71.6156849,-8.4201985,98.21,4,POINT Z (-8.4201985 -71.6156849 98.21)
111_SubZero__185946.90_T1HR1H.dat,2022-01-07 18:59:56.096,1641581996.096,-71.6156765,-8.4201885,98.28,4,POINT Z (-8.4201885 -71.6156765 98.28)
112_SubZero__190005.80_T1HR1H.dat,2022-01-07 19:00:14.990,1641582014.99,-71.6156676,-8.4201765,98.27,4,POINT Z (-8.4201765 -71.6156676 98.27)
113_SubZero__190025_T1HR1H.dat,2022-01-07 19:00:34.187,1641582034.187,-71.6156591,-8.420164,98.24,4,POINT Z (-8.420164 -71.6156591 98.24)
114_SubZero__190044.20_T1HR1H.dat,2022-01-07 19:00:53.373,1641582053.373,-71.6156501,-8.4201494,98.21,4,POINT Z (-8.4201494 -71.6156501 98.21)
115_SubZero__190103.50_T1HR1H.dat,2022-01-07 19:01:12.688,1641582072.688,-71.6156409,-8.4201359,98.17,4,POINT Z (-8.4201359 -71.6156409 98.17)
116_SubZero__190122.90_T1HR1H.dat,2022-01-07 19:01:32.087,1641582092.087,-71.6156324,-8.4201217,98.22,4,POINT Z (-8.4201217 -71.6156324 98.22)
117_SubZero__190142.20_T1HR1H.dat,2022-01-07 19:01:51.390,1641582111.39,-71.6156235,-8.4201086,98.26,4,POINT Z (-8.4201086 -71.6156235 98.26)
118_SubZero__190200.90_T1HR1H.dat,2022-01-07 19:02:10.090,1641582130.09,-71.6156144,-8.4200967,98.25,4,POINT Z (-8.4200967 -71.6156144 98.25)
119_SubZero__190219.50_T1HR1H.dat,2022-01-07 19:02:28.691,1641582148.691,-71.6156053,-8.4200845,98.25,4,POINT Z (-8.4200845 -71.6156053 98.25)
120_SubZero__190238.30_T1HR1H.dat,2022-01-07 19:02:47.488,1641582167.488,-71.6155959,-8.4200715,98.22,4,POINT Z (-8.4200715 -71.6155959 98.22)
121_SubZero__190257.10_T1HR1H.dat,2022-01-07 19:03:06.294,1641582186.294,-71.6155871,-8.4200584,98.22,4,POINT Z (-8.4200584 -71.6155871 98.22)
122_SubZero__190316.30_T1HR1H.dat,2022-01-07 19:03:25.491,1641582205.491,-71.6155784,-8.4200434,98.19,4,POINT Z (-8.4200434 -71.6155784 98.19)
123_SubZero__190335.30_T1HR1H.dat,2022-01-07 19:03:44.489,1641582224.489,-71.6155696,-8.4200282,98.17,4,POINT Z (-8.4200282 -71.6155696 98.17)
124_SubZero__190354.20_T1HR1H.dat,2022-01-07 19:04:03.387,1641582243.387,-71.6155606,-8.4200156,98.16,4,POINT Z (-8.4200156 -71.6155606 98.16)
125_SubZero__190413.10_T1HR1H.dat,2022-01-07 19:04:22.296,1641582262.296,-71.6155519,-8.4200019,98.15,4,POINT Z (-8.4200019 -71.6155519 98.15)
126_SubZero__190432.30_T1HR1H.dat,2022-01-07 19:04:41.491,1641582281.491,-71.6155433,-8.4199879,98.13,4,POINT Z (-8.4199879 -71.6155433 98.13)
127_SubZero__190451.90_T1HR1H.dat,2022-01-07 19:05:01.091,1641582301.091,-71.6155344,-8.4199737,98.13,4,POINT Z (-8.4199737 -71.6155344 98.13)
128_SubZero__190511_T1HR1H.dat,2022-01-07 19:05:20.201,1641582320.201,-71.6155258,-8.4199581,98.15,4,POINT Z (-8.4199581 -71.6155258 98.15)
129_SubZero__190529.80_T1HR1H.dat,2022-01-07 19:05:38.988,1641582338.988,-71.6155173,-8.4199446,98.17,4,POINT Z (-8.4199446 -71.6155173 98.17)
130_SubZero__190548.60_T1HR1H.dat,2022-01-07 19:05:57.785,1641582357.785,-71.6155088,-8.4199319,98.18,4,POINT Z (-8.4199319 -71.6155088 98.18)
131_SubZero__190607_T1HR1H.dat,2022-01-07 19:06:16.203,1641582376.203,-71.6155002,-8.4199191,98.17,4,POINT Z (-8.4199191 -71.6155002 98.17)
132_SubZero__190625.90_T1HR1H.dat,2022-01-07 19:06:35.099,1641582395.099,-71.6154911,-8.4199053,98.14,4,POINT Z (-8.4199053 -71.6154911 98.14)
134_SubZero__190706.10_T1HR1H.dat,2022-01-07 19:07:15.301,1641582435.301,-71.6154752,-8.4198782,98.24,4,POINT Z (-8.4198782 -71.6154752 98.24)
135_SubZero__190728.40_T1HR1H.dat,2022-01-07 19:07:37.588,1641582457.588,-71.6154666,-8.4198654,98.33,4,POINT Z (-8.4198654 -71.6154666 98.33)
136_SubZero__190747.30_T1HR1H.dat,2022-01-07 19:07:56.499,1641582476.499,-71.6154578,-8.4198524,98.33,4,POINT Z (-8.4198524 -71.6154578 98.33)
137_SubZero__190806_T1HR1H.dat,2022-01-07 19:08:15.208,1641582495.208,-71.6154488,-8.4198371,98.26,4,POINT Z (-8.4198371 -71.6154488 98.26)
138_SubZero__190825.30_T1HR1H.dat,2022-01-07 19:08:34.500,1641582514.5,-71.6154398,-8.419822,98.22,4,POINT Z (-8.419822 -71.6154398 98.22)
139_SubZero__190844.80_T1HR1H.dat,2022-01-07 19:08:53.999,1641582533.999,-71.6154321,-8.4198072,98.24,4,POINT Z (-8.4198072 -71.6154321 98.24)
140_SubZero__190903.50_T1HR1H.dat,2022-01-07 19:09:12.706,1641582552.706,-71.6154243,-8.419795,98.23,4,POINT Z (-8.419795 -71.6154243 98.23)
141_SubZero__190922.30_T1HR1H.dat,2022-01-07 19:09:31.503,1641582571.503,-71.6154155,-8.4197818,98.28,4,POINT Z (-8.4197818 -71.6154155 98.28)
142_SubZero__190940.90_T1HR1H.dat,2022-01-07 19:09:50.099,1641582590.099,-71.6154068,-8.4197673,98.28,4,POINT Z (-8.4197673 -71.6154068 98.28)
143_SubZero__190959.50_T1HR1H.dat,2022-01-07 19:10:08.702,1641582608.702,-71.615397,-8.4197514,98.27,4,POINT Z (-8.4197514 -71.615397 98.27)
144_SubZero__191018.10_T1HR1H.dat,2022-01-07 19:10:27.305,1641582627.305,-71.6153877,-8.4197356,98.28,4,POINT Z (-8.4197356 -71.6153877 98.28)
145_SubZero__191036.90_T1HR1H.dat,2022-01-07 19:10:46.104,1641582646.104,-71.6153781,-8.4197198,98.26,4,POINT Z (-8.4197198 -71.6153781 98.26)
146_SubZero__191055.70_T1HR1H.dat,2022-01-07 19:11:04.906,1641582664.906,-71.615369,-8.4197042,98.24,4,POINT Z (-8.4197042 -71.615369 98.24)
147_SubZero__191114.50_T1HR1H.dat,2022-01-07 19:11:23.707,1641582683.707,-71.6153602,-8.4196888,98.23,4,POINT Z (-8.4196888 -71.6153602 98.23)
148_SubZero__191133.50_T1HR1H.dat,2022-01-07 19:11:42.699,1641582702.699,-71.6153511,-8.4196746,98.23,4,POINT Z (-8.4196746 -71.6153511 98.23)
149_SubZero__191152_T1HR1H.dat,2022-01-07 19:12:01.210,1641582721.21,-71.615342,-8.4196607,98.25,4,POINT Z (-8.4196607 -71.615342 98.25)
150_SubZero__191210.50_T1HR1H.dat,2022-01-07 19:12:19.703,1641582739.703,-71.615333,-8.4196476,98.24,4,POINT Z (-8.4196476 -71.615333 98.24)
151_SubZero__191229.90_T1HR1H.dat,2022-01-07 19:12:39.108,1641582759.108,-71.6153239,-8.4196337,98.25,4,POINT Z (-8.4196337 -71.6153239 98.25)
152_SubZero__191248.90_T1HR1H.dat,2022-01-07 19:12:58.107,1641582778.107,-71.6153162,-8.4196209,98.34,4,POINT Z (-8.4196209 -71.6153162 98.34)
153_SubZero__191308.60_T1HR1H.dat,2022-01-07 19:13:17.799,1641582797.799,-71.6153063,-8.4196111,98.28,4,POINT Z (-8.4196111 -71.6153063 98.28)
154_SubZero__191328.50_T1HR1H.dat,2022-01-07 19:13:37.707,1641582817.707,-71.6152969,-8.4195992,98.22,4,POINT Z (-8.4195992 -71.6152969 98.22)
155_SubZero__191347.90_T1HR1H.dat,2022-01-07 19:13:57.107,1641582837.107,-71.6152878,-8.4195867,98.2,4,POINT Z (-8.4195867 -71.6152878 98.2)
